"Question","Answer","Key Word"
"우주비행사들은 출발했다
긴 항해를
달로.","The astronauts took off
on a long voyage
to the moon.","voyage (n.)
A voyage is a long journey made on a boat or an aircraft."
"전 세계의 많은 사람들이
교회에서 예배한다.","Many people around the world
worship in a church.","worship (v.)
To worship means to like and honor a person, thing, or religious figure."
"마크는 견습 요리사이다
그 식당에서.","Mark is an apprentice chef
at the restaurant.","apprentice (n.)
An apprentice is a person who learns how to do a job from a skilled person."
"그는 상사에게 장담했다
건물이 제때 완성될 거라고.","He assured the boss
that the building would be done on time.","assure (v.)
To assure people is to tell them something is true to make them less worried."
"베이면
붕대를 가져오세요
구급상자에서.","If you cut yourself,
please get a bandage
from the first-aid kit.","bandage (n.)
A bandage is a piece of cloth used to stop bleeding."
"조심하지 않으면
손가락을 베어
피가 날 것이다.","If you are not careful,
you will cut your finger
and bleed.","bleed (v.)
To bleed is to lose blood."
"그 여자들은 친해졌다
몇 시간의 대화 후에.","The women bonded
after several hours of conversation.","bond (v.)
To bond with someone is to become friends with that person."
"톰은 요리사이다
우리 집 근처 식당의.","Tom is a chef
at the restaurant near my house.","chef (n.)
A chef is a person who cooks in a restaurant."
"그 왕관은
금으로 만들어졌다.","The crown
is made of gold.","crown (n.)
A crown is the hat worn by a king or queen."
"그들은 신이 났다
출발에 대해
집으로 돌아가는.","They were excited
about their departure
to go back home.","departure (n.)
A departure is the act of leaving a place."
"크레이그는 항상 ~였다
매우 성실한 사람
직장에서.","Craig has always been
a very diligent person
at work.","diligent (adj.)
A diligent person works hard and is careful."
"황제 율리우스 카이사르는
고대 로마를 지배하고 있었다.","The emperor Julius Caesar
was in control of ancient Rome.","emperor (n.)
An emperor is the leader of a group of countries."
"그 매트는
작은 섬유들로 만들어졌다.","The mat
was made from tiny fibers.","fiber (n.)
A fiber is a thread of a substance used to make clothes or rope."
"그 과제는 끔찍했다.
나는 그것이 싫었다.","The assignment was horrible.
I hated it.","horrible (adj.)
A horrible thing is very bad."
"로저는 무례하다
그가 만나는 모두에게.","Roger is impolite
to everyone he meets.","impolite (adj.)
An impolite person is rude, or not polite."
"대릴은 한쪽 무릎을 꿇고
니나에게 청혼했다.","Daryl kneeled down on one knee
and asked Nina to marry him.","kneel (v.)
To kneel is to put one or both knees on the ground."
"우리 신혼여행 리조트는
호사였다
우리가 정말 즐긴.","Our honeymoon resort
was a luxury
we really enjoyed.","luxury (n.)
A luxury is an expensive thing that is nice but not needed."
"그의 트럭 바퀴들은
거대했다.","The wheels on his truck
were massive.","massive (adj.)
A massive thing is very big."
"모두가 공황에 빠졌다
집에 불이 났을 때.","Everyone panicked
when the house caught on fire.","panic (v.)
To panic is to feel so nervous or afraid that one cannot think clearly."
"내 우선순위는
좋은 성적을 받는 것이다
학교에서.","My priority
is to get good grades
in school.","priority (n.)
A priority is something that is more important than other things."
"그 절의 승려들은
모두 예복을 입는다.","The monks at the temple
all wear robes.","robe (n.)
A robe is a long, loose piece of clothing."
"제시는 선생님에게 꾸중을 들었다
집중하지 않아서.","Jesse was scolded by the teacher
for not paying attention.","scold (v.)
To scold means to criticize someone angrily for doing something wrong."
"아내와 나는
격식 있는 행사에 참석했다
주말 동안.","My wife and I
attended a formal affair
over the weekend.","affair (n.)
An affair is an event or a thing that happened."
"학생들은 모임을 가졌다
자기 관심사에 대해 이야기하려고.","The students had an assembly
to talk about their interests.","assembly (n.)
An assembly is a group gathered together for the same reason."
"천사는 갓난아기를 축복했다
그 아이를 지키기 위해.","The angel blessed the newborn baby
to keep it safe.","bless (v.)
To bless is to ask God for protection or help."
"시리얼은 빠르고 흔한 아침 식사이다
미국에서 즐겨 먹는.","Cereal is a fast and common breakfast food
enjoyed in the US.","cereal (n.)
Cereal is a breakfast food made from grains that is eaten with milk."
"아이들은 명랑했다
학교에 갈 필요가 없어서.","The children were cheerful
because they didn't have to go to school.","cheerful (adj.)
A cheerful person is happy and pleasant."
"그 나무의 지름은
약 60센티미터였다.","The diameter of the tree
was about 60 centimeters.","diameter (n.)
The diameter of a round thing is the length across its center."
"그 회사는 직원들을 착취한다
그리고 하루 12시간 일하게 만든다.","The company exploits their workers
and makes them work 12 hours a day.","exploit (v.)
To exploit something is to use it for greedy reasons rather than good reasons."
"농부들은 어떤 식량도 기를 수 없었다
메마른 토양에서,
그래서 기근이 있었다.","The farmers couldn't grow any food
in the dry soil,
so there was a famine.","famine (n.)
A famine is a long time with little or no food."
"그들은 많은 밀을 얻었다
지난 수확에서.","They had a lot of wheat
from the last harvest.","harvest (n.)
A harvest is the act of collecting food from farming."
"그들은 유쾌했다
날씨가 아주 좋아서.","They felt merry
because the weather was great.","merry (adj.)
A merry person is happy and pleasant."
"견과를 먹으려면
먼저 껍데기를 깨야 한다.","To eat a nut,
you must first crack its shell.","nut (n.)
A nut is a hard seed or fruit that comes from some trees and bushes."
"실례합니다 선생님,
그런데 다시 말씀해 주시겠어요
방금 하신 말을?","Pardon me teacher,
but could you repeat
what you just said?","pardon (v.)
To pardon is to not be angry at someone for asking a question or for making a mistake."
"파라오들은
이집트를 다스렸다
수천 년 동안.","The pharaohs
ruled Egypt
for thousands of years.","pharaoh (n.)
A pharaoh was a king in ancient Egypt."
"그 체리들은
잘 익어 있었다.","The cherries
were nice and ripe.","ripe (adj.)
A ripe fruit or vegetable is ready to be eaten."
"엄마는 칠면조를 구웠다
명절 저녁 식사를 위해.","Mom roasted a turkey
for the holiday dinner.","roast (v.)
To roast something is to cook it in an oven or over a fire."
"아버지의 일과는
면도를 포함한다
아침 식사 바로 전에.","My father's daily routine
includes shaving
right before breakfast.","routine (n.)
A routine is a way of doing things that is the same every time."
"제이슨과 마크는
방안을 생각해냈다
문제를 해결하려고.","Jason and Mark
came up with a scheme
to solve the problem.","scheme (n.)
A scheme is a plan or design."
"내 새 휴대폰을 봐.
아주 얇아.","Look at my new cell phone.
It's very slim.","slim (adj.)
A slim person or thing is thin, not thick."
"우리 새 가스레인지는
우리가 음식을 요리하도록 돕는다
전보다 훨씬 빠르게.","Our new stove
helps us to cook food
much faster than before.","stove (n.)
A stove is a device used to cook food."
"그의 TV 도난은
일어났다
그가 직장에 있을 때.","The theft of his TV
took place
when he was at work.","theft (n.)
A theft is a criminal act that involves someone stealing something."
