"Question","Answer","Key Word"
"그녀는 보답했다 그녀의 친구에게
그의 모든 노력에 대해
작은 선물로.","She repaid her friend
for all of his hard work
with a small gift.","repay (v.)
To repay is to pay back or to reward someone or something."
"스티브는 우스꽝스러워 보였다
그 거대한 파란 선글라스를 쓰고서.","Steve looked ridiculous
with those huge blue sunglasses.","ridiculous (adj.)
A ridiculous thing is silly or strange."
"미나는 자주 받았다 만족스러운 성적을
그녀가 매우 열심히 공부했기 때문에.","Mina often received satisfactory grades
since she studied so hard.","satisfactory (adj.)
A satisfactory thing is good enough."
"양치기는 옮겼다 양들을
다른 들판으로.","The shepherd moved the sheep
to another field.","shepherd (n.)
A shepherd is a person who protects and cares for sheep."
"비록 위험했지만,
그들은 모험적으로 갔다 산 위로.","Even though it was dangerous,
they ventured up the mountain.","venture (v.)
To venture is to go to a place that may be dangerous."
"황금빛 밀밭은
준비되어 있었다 수확될.","The field of golden wheat
was ready to be harvested.","wheat (n.)
Wheat is a plant from which we get the grain used to make bread."
"우리 집 뒤의 골목은
더러워 보인다.","The alley behind my house
looks dirty.","alley (n.)
An alley is a narrow road between houses of buildings."
"그녀는 사용했다 도끼를
나무를 자르기 위해 불을 위한.","She used an ax
to cut some wood for the fire.","ax (n.)
An ax is a tool used to cut wood."
"그녀는 배가 고팠다,
그래서 그녀는 먹었다 포도 한 송이 전체를.","She was hungry,
so she ate the entire bunch of grapes.","bunch (n.)
A bunch is a group of the same things."
"그것은 니키의 집안일이다
설거지하는 것
매주 화요일과 수요일 밤마다.","It's Nikki's chore
to do the dishes
every Tuesday and Wednesday night.","chore (n.)
A chore is an unpleasant job that must be done."
"에릭은 했다 괜찮은 일을
울타리를 칠하는.","Eric did a decent job
painting the fence.","decent (adj.)
A decent person or thing is OK or good enough."
"이것은 부끄러운
돈 낭비이다.","This is a disgraceful
waste of money.","disgraceful (adj.)
Disgraceful behavior is behavior that is very bad."
"그녀는 가리켰다 그녀의 팔꿈치를
나에게 보여주기 위해
그녀가 어디를 다쳤는지.","She pointed to her elbow
to show me
where she hurt herself.","elbow (n.)
The elbow is the middle part of an arm, where it bends."
"그 소녀들은 감사했다 기회에 대해
그들의 할아버지를 방문할.","The girls were grateful for the chance
to visit their grandfather.","grateful (adj.)
A grateful person feels thankful about something."
"카렌의 오빠는 짜증나게 했다 그녀를
그가 그녀에게 말했을 때
그녀의 카메라를 잃어버렸다고.","Karen's brother irritated her
when he told her
that he had lost her camera.","irritate (v.)
To irritate means to annoy someone."
"나는 진짜로 화난 게 아니야.
나는 농담했었어
내가 화났다고 말했을 때.","I am not really mad.
I was kidding
when I said I was angry.","kid (v.)
To kid is to say something that is not true as a joke."
"그 볼트는 헐거웠다,
그래서 나는 조였다 그것을 렌치로.","The bolt was loose,
so I tightened it with the wrench.","loose (adj.)
A loose thing is not held in place tightly."
"그들 둘 다 기분이 상했다
그들이 서로에게 말한 것에 의해.","They were both offended
by what they had said to each other.","offend (v.)
To offend is to make someone angry or upset."
"캠핑객들은 머물렀다
텐트에서 밤새도록.","The campers stayed
in the tent overnight.","overnight (adv.)
An overnight action happens during the night."
"비록 그 수업이 어려웠지만,
그는 끈질기게 계속했다 그가 이해할 때까지.","Even though the lesson was difficult,
he persisted until he understood.","persist (v.)
To persist means to keep doing something even when it is hard."
"많은 아름다운 소나무들이 있었다
숲 속에.","There were many beautiful pine trees
in the forest.","pine (n.)
A pine is a type of tall, thin tree with needles instead of leaves."
"그 남자는 가지고 있었다 끔찍한 흉터들을
그의 뺨과 이마에.","The man had horrible scars
on his cheek and forehead.","scar (n.)
A scar is a mark on the skin after a wound heals."
"엄마는 받았다 고통스러운 느낌을
그녀의 머리에
시끄러운 소음으로부터.","Mom got a painful sensation
in her head
from the loud noise.","sensation (n.)
A sensation is a feeling that people get from their senses."
"마빈은 좋아한다 그의 썰매 타는 것을
언덕 아래로
겨울에.","Marvin likes to ride his sled
down the hill
in winter.","sled (n.)
A sled is a small vehicle used on snow."
"제이크는 놀렸다 찰리를
그가 새로운 학생이었기 때문에.","Jake teased Charlie
because he was the new student.","tease (v.)
To tease means to laugh at or make fun of someone."
"해리는 원했다 몰리가
그의 발렌타인이 되기를.","Harry wanted Molly
to be his valentine.","valentine (n.)
A valentine is someone loved or admired with great affection."
"낸시는 익혔다 그녀 자신을
새로운 컴퓨터에.","Nancy acquainted herself
with the new computer.","acquaint (v.)
To acquaint is to get to know something or someone."
"일부 사람들은 무서워한다
묘지를.","Some people are scared
of cemeteries.","cemetery (n.)
A cemetery is a place where people are buried when they die."
"그 생명체들은 산다
아프리카에.","Those creatures live
in Africa.","creature (n.)
A creature is an animal or person."
"마녀는 저주했다
그 마을을.","The witch cursed
the village.","curse (v.)
To curse someone is to hope that bad things happen for that person."
"모두가 알았다 그것이 아빠라는 것을
산타 분장 속의.","Everyone knew that it was Dad
in the Santa disguise.","disguise (n.)
A disguise is something you wear so that people cannot tell who you are."
"그들의 식탁은 모두 차려졌다
화려한 저녁 식사를 위해.","Their table was all set
for a fancy dinner.","fancy (adj.)
A fancy thing is more or more detailed than normal."
"우리는 가져갔다 손전등을
우리가 캠핑 갔을 때.","We took a flashlight
when we went camping.","flashlight (n.)
A flashlight is a small electric light that people carry in their hands."
"그녀는 썼다 그녀의 후드를
그녀의 머리를 따뜻하게 유지하기 위해.","She put on her hood
to keep her head warm.","hood (n.)
A hood is part of a coat that goes over a person's head."
"거주자들의 수는 시골에서
증가하고 있다.","The number of inhabitants in the countryside
is increasing.","inhabitant (n.)
An inhabitant is a person who lives in a certain place."
"좋은 어머니는 자양분을 줄 것이다
그녀의 아기에게
매일.","A good mother will nourish
her baby
every day.","nourish (v.)
To nourish is to give someone or something the food needed to live."
"해적들은
매우 무서운 인물들이다.","Pirates are
very scary characters.","pirate (n.)
A pirate is a sailor who steals things from other boats."
"그녀는 구독자였다
그 출판물의
10년 이상 동안.","She's been a subscriber
to that publication
for over ten years.","publication (n.)
A publication is something printed, like a newspaper or book."
"나는 답할 수 없었다 웬디의 수수께끼에,
하지만 그것이 나를 웃게 만들었다.","I could not answer Wendy's riddle,
but it made me laugh.","riddle (n.)
A riddle is a question that is difficult to answer but meant to be funny."
"그 오래된 통나무는
썩기 시작했다 숲 속에서.","The old log began
to rot in the forest.","rot (v.)
To rot is to slowly get softer and become destroyed."
"나의 근무일은
곧 끝날 것이다.","My workday
will end shortly.","shortly (adv.)
An action that happens shortly will end shortly."
"해골이 있다
과학 교실에.","There is a skeleton
in the science classroom.","skeleton (n.)
A skeleton is all the bones of a body."
"우리는 두었다 그 과일을 밖에 너무 오래,
그래서 그것이 상했다.","We left the fruit out too long,
and it spoiled.","spoil (v.)
To spoil is to rot or to make bad."
"전쟁 중에,
많은 사람들이 굶주렸다.","During the war,
many people starved.","starve (v.)
To starve is to not get enough food for a long period of time."
"이 서퍼는 즐긴다 스릴을
큰 파도를 타는.","This surfer enjoys the thrill
of surfing a big wave.","thrill (n.)
A thrill is an exciting feeling."
"나의 상사는
매우 사악한 사람이다.","My boss is
a very wicked man.","wicked (adj.)
A wicked person is very bad or evil."
