"Question","Answer","Key Word"
"그는 키보드의 키들을 두드렸다
짧은 단어를 쓰기 위해.","He tapped the keys of the keyboard
to write a short word.","tap (v.)
To tap something is to hit it lightly."
"지구의 바다는 가득 차 있다
엄청난 양의 물로.","The Earth's oceans are filled
with a tremendous amount of water.","tremendous (adj.)
A tremendous thing is very large or very good."
"나무의 뿌리는 위치해 있다
땅속 아래에.","The roots of a tree are located
underneath the ground.","underneath (prep.)
Underneath means below or under."
"지렁이는 자주 사용된다
물고기를 잡는 데 도움이 되도록.","Worms are often used
to help catch fish.","worm (n.)
A worm is a small animal with a long, thin body."
"그 낡은 방은 버려졌었다
몇 년 전에.","The old room had been abandoned
years before.","abandon (v.)
To abandon something is to leave it forever or for a long time."
"켄드라는 야망이 있어야 했다
의대에 들어가기 위해.","Kendra had to be ambitious
to get into medical school.","ambitious (adj.)
An ambitious person wants to be rich or successful."
"그 개는 짖었다
시끄럽고 무섭게.","The dog barked
loudly and frighteningly.","bark (v.)
To bark is to make a short, loud noise, like a dog."
"금문교는
샌프란시스코 만을 가로지른다.","The Golden Gate Bridge
crosses San Francisco Bay.","bay (n.)
A bay is an area near the ocean where the land goes inward."
"내 여동생은 명석하다
그 나이대의 사람치고.","My younger sister is brilliant
for someone her age.","brilliant (adj.)
A brilliant person is very bright or smart."
"루크는 가리켰다
그의 턱에 난 털을.","Luke pointed
to the hair on his chin.","chin (n.)
A chin is the hard part at the bottom of a person's face."
"엄마는 말했다
내 동생의 불평을 듣고 싶지 않다고.","Mom said
she didn't want to hear my brother's complaints.","complaint (n.)
A complaint is an expression of unhappiness about something."
"수잔은 수화를 사용한다
그녀가 청각장애가 있기 때문에.","Susan uses sign language
because she is deaf.","deaf (adj.)
A deaf person or animal cannot hear."
"그 남자는 열정적이었다
그의 직업에 대해.","The man was enthusiastic
about his job.","enthusiastic (adj.)
An enthusiastic person is excited by or interested in something."
"그들은 우주선에 올라탔다
탐험을 시작하기 위해.","They got into their spaceship
to begin their expedition.","expedition (n.)
An expedition is a long trip, usually to a place very far away."
"해가 잠겼다
수평선 아래로.","The sun dipped
below the horizon.","horizon (n.)
The horizon is where the sky looks like it meets the ground."
"세 친구는
서로에게 매우 충실하다.","The three friends
are very loyal to each other.","loyal (adj.)
Loyal people always help or support a certain person or thing."
"내 고향의 시장은
꽤 영향력 있는 연설가다.","The mayor of my hometown
is quite a powerful speaker.","mayor (n.)
The mayor is the person in charge of a city."
"로버트는 사라를 좋아하고, 그녀도 그를 좋아한다.
그 감정은 상호적이다.","Robert likes Sarah, and she likes him.
The feeling is mutual.","mutual (adj.)
A mutual thing is felt in the same way by two or more people."
"리사는 너무 많이 먹는다,
그래서 그녀는 과체중이다.","Lisa eats too much,
so she's overweight.","overweight (adj.)
Overweight people or animals are heavier than is healthy."
"비가 오기 시작했을 때,
그녀는 집에서 피난처를 찾았다.","When it started to rain,
she found refuge in the house.","refuge (n.)
A refuge is a place of safety."
"빅터는 복원했다
그 낡은 자동차를.","Victor restored
the old car.","restore (v.)
To restore something is to put it back the way it was."
"엄마의 발이 아팠다,
그래서 그녀는 그것을 문질렀다.","Mom's feet were sore,
so she rubbed them.","rub (v.)
To rub something is to push on it and move your hand back and forth."
"사는 것이 힘들 것이다
당신의 오감 없이는.","It would be hard to live
without your five senses.","senses (n.)
The senses are how living things experience the world: sight, taste, smell, hearing."
"완다는 수의사가 되었다
그녀가 개를 사랑하기 때문에.","Wanda became a veterinarian
because she loves dogs.","veterinarian (n.)
A veterinarian is a doctor who takes care of animals."
"내 부모님은 식당에 나갔다
그들의 결혼기념일을 위해.","My parents went out to a restaurant
for their wedding anniversary.","anniversary (n.)
An anniversary is a day that celebrates something from the past."
"나는 산수 공부하는 것을 좋아한다
학교에서.","I like to study arithmetic
at school.","arithmetic (n.)
Arithmetic is math."
"그는 부끄러웠다
선생님의 이름을 잊어버렸을 때.","He was ashamed
when he forgot his teacher's name.","ashamed (adj.)
Ashamed means feeling upset and embarrassed because of a bad action."
"폭탄이 터졌다
도시 위에서.","The bomb burst
over the city.","burst (v.)
To burst is to suddenly break open or apart."
"우리는 목수를 고용했다
찬장을 만들기 위해.","We hired a carpenter
to make a cupboard.","carpenter (n.)
A carpenter is a person who builds things with wood."
"많은 발전소가 석탄을 태운다
에너지를 생산하기 위해.","Many power stations burn coal
to produce energy.","coal (n.)
Coal is a hard black material that people burn for heat."
"킴과 마틴의 새 소파는
매우 비쌌다.","Kim and Martin's new couch
was very expensive.","couch (n.)
A couch is a long, soft seat that many people can sit on."
"나는 물소리를 들었다
수도꼭지에서 떨어지는.","I heard water
dripping from the faucet.","drip (v.)
To drip is to fall a little bit at a time."
"일본에서는, 여성들이 우아한 기모노를 입는다
특별한 날에.","In Japan, women wear elegant kimonos
on special occasions.","elegant (adj.)
Something elegant is very fancy and pleasing."
"그 수건들은 만들어졌다
부드러운 천으로.","The towels were made
from a soft fabric.","fabric (n.)
Fabric is cloth used to make clothes, furniture, etc."
"그 남자는 작은 집이 있었다
고지대에.","The man had a small home
in the highlands.","highlands (n.)
Highlands are high areas of land, usually with mountains."
"그 코끼리의 긴 상아 엄니는
매우 인상적으로 보였다.","The elephant's long ivory tusks
looked very impressive.","ivory (n.)
Ivory is a hard, white substance that comes from elephants."
"그 농부는 밀을 방앗간으로 가져갔다
그것을 밀가루로 만들기 위해.","The farmer took his wheat to the mill
to make it into flour.","mill (n.)
A mill is a building in which wheat is ground into flour."
"나는 바늘을 사용했다
내 바지의 구멍을 고치기 위해.","I used a needle
to fix the hole in my pants.","needle (n.)
A needle is a small, sharp piece of metal used to make or fix clothes."
"마크는 아침 내내 보냈다
결혼식을 위해 신발을 닦으며.","Mark spent all morning
polishing his shoes for the wedding.","polish (v.)
To polish something is to rub it in order to make it shiny."
"나는 바느질하는 법을 배웠다
내가 어린 소녀였을 때.","I learned to sew
when I was a little girl.","sew (v.)
To sew means to put pieces of cloth together using string or thread."
"우리는 작은 헛간이 있다
보관을 위해 뒷마당에.","We have a small shed
in the backyard for storage.","shed (n.)
A shed is a small building in which people store things like tools."
"나는 여러 색깔의 실이 많다
집에.","I have many different colors of thread
at home.","thread (n.)
A thread is a thin piece of string."
"나는 머리를 다듬었다
오늘 오후에.","I had my hair trimmed
this afternoon.","trim (v.)
To trim something is to cut it a little bit."
"그 연은 위로 올라갔다
점점 더 멀리.","The kite went upwards
further and further.","upwards (adv.)
An upwards action moves vertically towards the direction above."
"나는 많은 협력자를 찾아서 기뻤다
내 의견에 공감하는.","I was happy to find many allies
who shared my opinion.","ally (n.)
An ally is someone who agrees to help or support another person or group."
"우리는 모두 지쳤다
그가 하루 종일 자기 자랑하는 것을 듣는 데.","We all became tired
of listening to him boast about himself all day.","boast (v.)
To boast is to talk about how great one is."
"오웬은 공을 튕겼다
땅에.","Owen bounced the ball
on the ground.","bounce (v.)
To bounce is to move up and away from a surface after hitting it."
"그 두 명의 불량배는
항상 더 작고 약한 아이들을 괴롭혔다.","The two bullies
always picked on the smaller, weaker kids.","bully (n.)
A bully is a person who is mean to others."
"쌀 같은 탄수화물은
활동적인 사람들에게 좋은 에너지원이다.","Carbohydrates like rice
are a good source of energy for active people.","carbohydrate (n.)
Carbohydrates are substances in foods like bread that give energy."
"그 아기는 기어갔다
바닥을 가로질러.","The baby crawled
across the floor.","crawl (v.)
To crawl is to move slowly on hands and knees."
"그 챔피언은 도전자를 이겼다
권투 시합에서.","The champion defeated the challenger
in the boxing match.","defeat (v.)
To defeat someone is to beat that person in a game or battle."
"나는 다이얼을 봤다
몇 시인지 보려고.","I looked at the dial
to see what time it was.","dial (n.)
A dial is a circular tool, like the front of a clock."
"그 고릴라는 우세한 동물 중 하나다
정글에서.","The gorilla is one of the dominant animals
in the jungle.","dominant (adj.)
A dominant person or thing is stronger than others."
"테이블 전체가
음식으로 덮여 있었다.","The entire table
was covered with food.","entire (adj.)
Entire means the whole thing or group."
"그는 상사에게 자비를 구했다
그리고 자신을 해고하지 말아 달라고.","He asked his boss for mercy
and to not fire him.","mercy (n.)
Mercy is a feeling or act of kindness."
"나는 고개를 끄덕였다
그 노래를 들으면서.","I nodded my head
as I listened to the song.","nod (v.)
To nod is to move your head up and down."
"경기장에서,
우리 상대팀은 우리에게 너무 강했다.","On the field,
our opponents were too good for us.","opponent (n.)
An opponent is a person or group trying to defeat another person or group."
"빌리는 아내와 다퉜다
새 집을 사는 것에 대해.","Billy quarreled with his wife
about buying a new house.","quarrel (v.)
To quarrel is to argue or fight."
"그 세 명의 경쟁자는
모두 같은 일자리를 두고 경쟁하고 있었다.","The three rivals
were all competing for the same job.","rival (n.)
A rival is someone trying to achieve the same thing as another."
"무거운 상자를 든 후,
모나의 등이 아팠다.","After lifting the heavy box,
Mona's back was sore.","sore (adj.)
Sore means feeling or causing pain."
"그 바늘이 내 팔을 찔렀다
그리고 나를 ""아야!""라고 말하게 했다.","The needle stung my arm
and made me say, ""Ouch!""","sting (v.)
To sting is to cause pain by pushing a sharp part into the skin."
"케이시는 안간힘을 썼다
무거운 상자를 들어 올리려고.","Casey strained
to lift the heavy box.","strain (v.)
To strain is to try very hard."
"그렉은 생각했다
에세이 쓰는 것이 고문이라고.","Greg thought
that writing the essay was torture.","torture (n.)
Torture is action that causes physical or mental pain."
"내 아빠는 레슬링을 좋아했다
그가 고등학생이었을 때.","My dad loved to wrestle
when he was in high school.","wrestle (v.)
To wrestle is to try to push another competitor to the floor."
"모래의 부재가 있다
모래시계 안에.","There is an absence of sand
in the hourglass.","absence (n.)
Absence is the state of something being away."
"내 아버지는 자주 이야기를 소리 내어 읽는다
나와 내 여동생에게.","My father often reads stories aloud
to me and my sister.","aloud (adv.)
An action done aloud is done so that people can hear it."
"내 큰형은
대머리다.","My oldest brother
is bald.","bald (adj.)
A bald person or animal has no hair."
"나는 땅에 담요를 깔았다
우리가 소풍을 즐길 수 있도록.","I laid a blanket on the ground
so that we could have a picnic.","blanket (n.)
A blanket is a piece of cloth that people use to keep warm or to sit upon."
"그 고양이는 천천히
나무 아래로 살금살금 내려왔다.","The cat slowly
crept down the tree.","creep (v.)
To creep is to move quietly and slowly."
"이혼율이 증가해 왔다
지난 20년 동안.","Divorce rates have increased
in the past twenty years.","divorce (n.)
Divorce is the process of ending a marriage."
"그는 자신이 가장 좋아하는 슈퍼히어로를 흉내 냈다
의상을 입음으로써.","He imitated his favorite superhero
by putting on a costume.","imitate (v.)
To imitate someone or something is to act in the exact same way."
"그 아기는
밤새 울었다.","The infant
cried all night.","infant (n.)
An infant is a baby."
"그녀는 알고 겁에 질렸다
그녀의 아들이 납치되었다는 것을.","She was terrified to find out
her son had been kidnapped.","kidnap (v.)
To kidnap someone is to take that person illegally."
"나는 짧은 낮잠을 잤다
어젯밤 늦게까지 깨어 있었기 때문에.","I took a short nap
because I had stayed up late last night.","nap (n.)
A nap is a short sleep, usually during the day."
"불행히도,
물은 어디에서도 찾을 수 없었다.","Unfortunately,
water was nowhere to be found.","nowhere (adv.)
Nowhere means no place or not existing."
"나는 로션을 톡톡 두드려 발랐다
내 얼굴에.","I patted some lotion
onto my face.","pat (v.)
To pat something is to hit it softly with your hand."
"나는 안도감을 느꼈다
그 좋은 소식을 들었을 때.","I felt a sense of relief
when I heard the good news.","relief (n.)
Relief is a good feeling after something bad or challenging ends."
"그 아이들은 자기 집을 똑같이 만들려고 했다
장난감 블록을 사용해서.","The children tried to reproduce their house
using toy blocks.","reproduce (v.)
To reproduce is to make something exactly how someone else did it."
"""험프티 덤프티""는 오래된 운율이다
아이들이 학교에서 배우는.","""Humpty Dumpty"" is an old rhyme
that children learn in school.","rhyme (n.)
A rhyme is writing or speech that has words with the same ending sounds."
"그 아기는 우유를 빨았다
젖병에서.","The baby sucked milk
from her bottle.","suck (v.)
To suck is to put something in your mouth and try to pull something out of it."
"그는 그 순간 떠나야 했다;
그것은 긴급했다.","He had to leave at that moment;
it was urgent.","urgent (adj.)
An urgent thing is important and needs to be done now."
"모든 승객들이
기차역에서 사라졌다.","All the passengers
vanished from the train station.","vanish (v.)
To vanish is to go away suddenly."
"그는 그의 수레를 사용했다
자기 선물 일부를 옮기기 위해.","He used his wagon
to carry some of his gifts.","wagon (n.)
A wagon is a cart used to carry heavy things."
"내 할아버지는
얼굴에 주름이 좀 있다.","My grandfather
has some wrinkles on his face.","wrinkle (n.)
A wrinkle is a line on a person's face that appears as they get old."
