"Question","Answer"
"우리는 그 방송을 봤다","We watched the broadcast"
"지역 뉴스의","of the local news"
"TV로.","on TV."
"생방송 뉴스 속보가 있었다","There was a live bulletin"
"그 도시의 경제를 보도하는.","reporting on the economy of the city."
"원숭이는 머리에 혹이 생겼다","The monkey got a bump on his head"
"돌에 맞았기 때문에.","because he was hit by a rock."
"엄마는 채소를 썰었다","Mom chopped some vegetables"
"스튜에 넣기 위해.","to put into the stew."
"마리는 옷이 많다","Marie has many clothes"
"그녀의 옷장 안에.","inside of her closet."
"내 개가 달아났을 때,","When my dog ran away,"
"아빠가 나를 위로했다.","my dad consoled me."
"나는 주거 지역에 산다","I live in a residential district"
"워싱턴주 시애틀의.","of Seattle, Washington."
"나는 옷을 넣었다","I put my clothes"
"빈 서랍들 안에.","into the empty drawers."
"그녀는 견뎌야 했다","She had to endure"
"남편이 하루 종일 소리치는 것을.","her husband shouting all day long."
"어떤 사람들은 처형된다","Some people are executed"
"중범죄로.","for serious crimes."
"그는 돈가방을 움켜쥐었다","He grasped the bag of money"
"단단히.","tightly."
"그 남자는 트럭 뒷부분에 실었다","The man loaded the rear of his truck"
"상자들을.","with boxes."
"그 젊은 상원의원은 약속했다","The young senator promised"
"사람들을 도울 법을 만들겠다고.","to make laws that would help the people."
"뇌는 보호받는다","The brain is protected"
"두개골에 의해.","by the skull."
"엄마는 반죽을 저었다","Mom stirred the batter"
"그것이 부드러워질 때까지.","until it was smooth."
"그는 키보드의 키들을 두드렸다","He tapped the keys of the keyboard"
"짧은 단어를 쓰기 위해.","to write a short word."
"지구의 바다는 가득 차 있다","The Earth's oceans are filled"
"엄청난 양의 물로.","with a tremendous amount of water."
"나무의 뿌리는 위치해 있다","The roots of a tree are located"
"땅속 아래에.","underneath the ground."
"지렁이는 자주 사용된다","Worms are often used"
"물고기를 잡는 데 도움이 되도록.","to help catch fish."
"그 낡은 방은 버려졌었다","The old room had been abandoned"
"몇 년 전에.","years before."
"켄드라는 야망이 있어야 했다","Kendra had to be ambitious"
"의대에 들어가기 위해.","to get into medical school."
"그 개는 짖었다","The dog barked"
"시끄럽고 무섭게.","loudly and frighteningly."
"금문교는","The Golden Gate Bridge"
"샌프란시스코 만을 가로지른다.","crosses San Francisco Bay."
"내 여동생은 명석하다","My younger sister is brilliant"
"그 나이대의 사람치고.","for someone her age."
"루크는 가리켰다","Luke pointed"
"그의 턱에 난 털을.","to the hair on his chin."
"엄마는 말했다","Mom said"
"내 동생의 불평을 듣고 싶지 않다고.","she didn't want to hear my brother's complaints."
"수잔은 수화를 사용한다","Susan uses sign language"
"그녀가 청각장애가 있기 때문에.","because she is deaf."
"그 남자는 열정적이었다","The man was enthusiastic"
"그의 직업에 대해.","about his job."
"그들은 우주선에 올라탔다","They got into their spaceship"
"탐험을 시작하기 위해.","to begin their expedition."
"해가 잠겼다","The sun dipped"
"수평선 아래로.","below the horizon."
"세 친구는","The three friends"
"서로에게 매우 충실하다.","are very loyal to each other."
"내 고향의 시장은","The mayor of my hometown"
"꽤 영향력 있는 연설가다.","is quite a powerful speaker."
"로버트는 사라를 좋아하고, 그녀도 그를 좋아한다.","Robert likes Sarah, and she likes him."
"그 감정은 상호적이다.","The feeling is mutual."
"리사는 너무 많이 먹는다,","Lisa eats too much,"
"그래서 그녀는 과체중이다.","so she's overweight."
"비가 오기 시작했을 때,","When it started to rain,"
"그녀는 집에서 피난처를 찾았다.","she found refuge in the house."
"빅터는 복원했다","Victor restored"
"그 낡은 자동차를.","the old car."
"엄마의 발이 아팠다,","Mom's feet were sore,"
"그래서 그녀는 그것을 문질렀다.","so she rubbed them."
"사는 것이 힘들 것이다","It would be hard to live"
"당신의 오감 없이는.","without your five senses."
"완다는 수의사가 되었다","Wanda became a veterinarian"
"그녀가 개를 사랑하기 때문에.","because she loves dogs."
"내 부모님은 식당에 나갔다","My parents went out to a restaurant"
"그들의 결혼기념일을 위해.","for their wedding anniversary."
"나는 산수 공부하는 것을 좋아한다","I like to study arithmetic"
"학교에서.","at school."
"그는 부끄러웠다","He was ashamed"
"선생님의 이름을 잊어버렸을 때.","when he forgot his teacher's name."
"폭탄이 터졌다","The bomb burst"
"도시 위에서.","over the city."
"우리는 목수를 고용했다","We hired a carpenter"
"찬장을 만들기 위해.","to make a cupboard."
"많은 발전소가 석탄을 태운다","Many power stations burn coal"
"에너지를 생산하기 위해.","to produce energy."
"킴과 마틴의 새 소파는","Kim and Martin's new couch"
"매우 비쌌다.","was very expensive."
"나는 물소리를 들었다","I heard water"
"수도꼭지에서 떨어지는.","dripping from the faucet."
"일본에서는, 여성들이 우아한 기모노를 입는다","In Japan, women wear elegant kimonos"
"특별한 날에.","on special occasions."
"그 수건들은 만들어졌다","The towels were made"
"부드러운 천으로.","from a soft fabric."
"그 남자는 작은 집이 있었다","The man had a small home"
"고지대에.","in the highlands."
"그 코끼리의 긴 상아 엄니는","The elephant's long ivory tusks"
"매우 인상적으로 보였다.","looked very impressive."
"그 농부는 밀을 방앗간으로 가져갔다","The farmer took his wheat to the mill"
"그것을 밀가루로 만들기 위해.","to make it into flour."
"나는 바늘을 사용했다","I used a needle"
"내 바지의 구멍을 고치기 위해.","to fix the hole in my pants."
"마크는 아침 내내 보냈다","Mark spent all morning"
"결혼식을 위해 신발을 닦으며.","polishing his shoes for the wedding."
"나는 바느질하는 법을 배웠다","I learned to sew"
"내가 어린 소녀였을 때.","when I was a little girl."
"우리는 작은 헛간이 있다","We have a small shed"
"보관을 위해 뒷마당에.","in the backyard for storage."
"나는 여러 색깔의 실이 많다","I have many different colors of thread"
"집에.","at home."
"나는 머리를 다듬었다","I had my hair trimmed"
"오늘 오후에.","this afternoon."
"그 연은 위로 올라갔다","The kite went upwards"
"점점 더 멀리.","further and further."
"나는 많은 협력자를 찾아서 기뻤다","I was happy to find many allies"
"내 의견에 공감하는.","who shared my opinion."
"우리는 모두 지쳤다","We all became tired"
"그가 하루 종일 자기 자랑하는 것을 듣는 데.","of listening to him boast about himself all day."
"오웬은 공을 튕겼다","Owen bounced the ball"
"땅에.","on the ground."
"그 두 명의 불량배는","The two bullies"
"항상 더 작고 약한 아이들을 괴롭혔다.","always picked on the smaller, weaker kids."
"쌀 같은 탄수화물은","Carbohydrates like rice"
"활동적인 사람들에게 좋은 에너지원이다.","are a good source of energy for active people."
"그 아기는 기어갔다","The baby crawled"
"바닥을 가로질러.","across the floor."
"그 챔피언은 도전자를 이겼다","The champion defeated the challenger"
"권투 시합에서.","in the boxing match."
"나는 다이얼을 봤다","I looked at the dial"
"몇 시인지 보려고.","to see what time it was."
"그 고릴라는 우세한 동물 중 하나다","The gorilla is one of the dominant animals"
"정글에서.","in the jungle."
"테이블 전체가","The entire table"
"음식으로 덮여 있었다.","was covered with food."
"그는 상사에게 자비를 구했다","He asked his boss for mercy"
"그리고 자신을 해고하지 말아 달라고.","and to not fire him."
"나는 고개를 끄덕였다","I nodded my head"
"그 노래를 들으면서.","as I listened to the song."
"경기장에서,","On the field,"
"우리 상대팀은 우리에게 너무 강했다.","our opponents were too good for us."
"빌리는 아내와 다퉜다","Billy quarreled with his wife"
"새 집을 사는 것에 대해.","about buying a new house."
"그 세 명의 경쟁자는","The three rivals"
"모두 같은 일자리를 두고 경쟁하고 있었다.","were all competing for the same job."
"무거운 상자를 든 후,","After lifting the heavy box,"
"모나의 등이 아팠다.","Mona's back was sore."
"그 바늘이 내 팔을 찔렀다","The needle stung my arm"
"그리고 나를 ""아야!""라고 말하게 했다.","and made me say, ""Ouch!"""
"케이시는 안간힘을 썼다","Casey strained"
"무거운 상자를 들어 올리려고.","to lift the heavy box."
"그렉은 생각했다","Greg thought"
"에세이 쓰는 것이 고문이라고.","that writing the essay was torture."
"내 아빠는 레슬링을 좋아했다","My dad loved to wrestle"
"그가 고등학생이었을 때.","when he was in high school."
"모래의 부재가 있다","There is an absence of sand"
"모래시계 안에.","in the hourglass."
"내 아버지는 자주 이야기를 소리 내어 읽는다","My father often reads stories aloud"
"나와 내 여동생에게.","to me and my sister."
"내 큰형은","My oldest brother"
"대머리다.","is bald."
"나는 땅에 담요를 깔았다","I laid a blanket on the ground"
"우리가 소풍을 즐길 수 있도록.","so that we could have a picnic."
"그 고양이는 천천히","The cat slowly"
"나무 아래로 살금살금 내려왔다.","crept down the tree."
"이혼율이 증가해 왔다","Divorce rates have increased"
"지난 20년 동안.","in the past twenty years."
"그는 자신이 가장 좋아하는 슈퍼히어로를 흉내 냈다","He imitated his favorite superhero"
"의상을 입음으로써.","by putting on a costume."
"그 아기는","The infant"
"밤새 울었다.","cried all night."
"그녀는 알고 겁에 질렸다","She was terrified to find out"
"그녀의 아들이 납치되었다는 것을.","her son had been kidnapped."
"나는 짧은 낮잠을 잤다","I took a short nap"
"어젯밤 늦게까지 깨어 있었기 때문에.","because I had stayed up late last night."
"불행히도,","Unfortunately,"
"물은 어디에서도 찾을 수 없었다.","water was nowhere to be found."
"나는 로션을 톡톡 두드려 발랐다","I patted some lotion"
"내 얼굴에.","onto my face."
"나는 안도감을 느꼈다","I felt a sense of relief"
"그 좋은 소식을 들었을 때.","when I heard the good news."
"그 아이들은 자기 집을 똑같이 만들려고 했다","The children tried to reproduce their house"
"장난감 블록을 사용해서.","using toy blocks."
"""험프티 덤프티""는 오래된 운율이다","""Humpty Dumpty"" is an old rhyme"
"아이들이 학교에서 배우는.","that children learn in school."
"그 아기는 우유를 빨았다","The baby sucked milk"
"젖병에서.","from her bottle."
"그는 그 순간 떠나야 했다;","He had to leave at that moment;"
"그것은 긴급했다.","it was urgent."
"모든 승객들이","All the passengers"
"기차역에서 사라졌다.","vanished from the train station."
"그는 그의 수레를 사용했다","He used his wagon"
"자기 선물 일부를 옮기기 위해.","to carry some of his gifts."
"내 할아버지는","My grandfather"
"얼굴에 주름이 좀 있다.","has some wrinkles on his face."
