"Question","Answer"
"어느 시점에,
중국 자동차 제조사들은 깨달았다
그들을 결코 이길 수 없다는 것을
가솔린 자동차에서는,
그래서 그들은 다른 게임을 하기로 결정했다,
그리고 중국 정부는 만들었다
국가적 목표를
전기차 기술을 개발하기 위한.","At some point,
Chinese automakers realized
they were never going to beat them
at gas cars,
so they decided to play a different game,
and the Chinese government created
a national goal
to develop electric vehicle technology."
"그리고 많은 중국 기업가들이
그 부름에 응답했다
BYD처럼,
이 회사는 배터리 회사로 시작했고
그러고 나서 자동차 산업에 진출했다.","And a lot of Chinese entrepreneurs
answered that call
like BYD,
which started out as a battery company
and then got into automotive."
"또한 지리(Geely)도 있다,
창업자 리수푸가
부품을 만드는 일을 시작한
냉장고를 위한.","You also have Geely,
where the founder, Li Shufu,
started making parts
for refrigerators."
"샤오미는,
휴대전화 회사인데,
이제 자동차 산업에 진출했다
왜냐하면 자동차가 되어가고 있기 때문이다
정말로 소프트웨어 중심으로.","Xiaomi,
they're a cell phone company,
that has now gotten into cars
because cars are becoming
really software driven."
"오늘 우리는 본사에 있다
케어소프트 글로벌의
우리의 새 기술 센터에서.","Today we're at the headquarters
of Caresoft Global
at our new technical center."
"우리는 많은 차량을 보유하고 있다
우리가 분해한
그리고 가치 분석을 수행한.","We have many vehicles
that we have disassembled
and done value analysis."
"우리는 (이 차량들에 대해) 벤치마킹 작업을 수행했다.","We've done benchmarking work on."
"여기에 있다
테슬라 모델 Y가
그리고 그것은 보여준다
그들의 메가 캐스팅 사용을.","Here we have
a Tesla Model Y
and it demonstrates
their usage of mega castings."
"그렇게 함으로써,
그들은 무게를 줄일 수 있다,
부품 수를 줄이고,
노동력을 줄이며
그리고 시간을
차량 한 대를 만드는 데 걸리는.","In doing that,
they're able to reduce the mass,
reduce the number of parts,
reduce the labor
and the time
it takes to build a vehicle."
"매우 혁신적인 접근 방식이다.","So very innovative approach."
"이제 우리가 보는 것은
중국에서 온
샤오펑 G6이다.","Now we see
from China
the XPENG G6."
"그들은 내놓았다
매우 멋진 차량을.","They've come forward
with a very nice vehicle."
"그리고 자세히 보면
발견하게 될 것이다
메가 캐스팅이 있다는 것을
후방에.","And if you look close
you'll find
there is a mega casting
in the rear."
"메가 캐스팅이 있다
전방에.","There is a mega casting
in the front."
"바닥이 없다
차체에는.","There is no floor
in the body."
"그것은 매우, 매우 유사하다.","It's very, very similar."
"여기서 그것이 모방되었다.","It's been imitated here."
"그러나,
자세히 보고 연구해 보면,
깨닫게 된다
그것들이 개선되었다는 것을.","However,
if you look closely and study it,
you realize
they've been improved upon."
"그리고 우리는 그것을 본다
중국 자동차 산업 전반에 걸쳐,
브랜드마다.","And we see that
across the Chinese auto industry,
brand by brand."
"이 추진력은
모방하고, 개선하고, 확장하려는
그리고 그것을 매우, 매우 빠르게 하려는.","This drive
to imitate, to improve, to increase
and to do it very, very quickly."
"그리고 우리는 상기하게 된다
큰 것이 아니라
작은 것이라는,
빠른 것이
느린 것을 잡아먹는다는.","And we're reminded
it's not the big
that it's the small,
it's the fast
that eat the slow."
"그러므로 당신이 볼 때
중국 자동차 산업의 속도를,
나는 생각한다 전통적인 OEM들이,
북미에서 온 업체들,
유럽에서 온 업체들,
그들은 알고 있고, 이해하고 있다.","So when you look at
the speed of the Chinese auto industry,
I think the traditional OEMs,
those from North America,
those from Europe,
they get it, they understand."
"이것은
방치될 수 없다.","This
cannot be left unchecked."
"미국의 자동차 회사들은
확실히 걱정해야 한다
중국 자동차들에 대해,
그리고 그들은 걱정하고 있다
중국 자동차들에 대해,
비록 사실상 불가능하지만
그것들을 판매하는 것이
오늘날 미국에서.","Car companies in the United States
definitely need to worry
about Chinese cars,
and they are worried
about Chinese cars,
even though it's basically impossible
to sell them
in the United States today."
"그 이유는
관세와 규제의 결합이다
국가 안보와 연결된.","The reason
is a combination of tariffs and regulation
that's linked to national security."
"2024년에,
바이든 대통령 재임 중,
미국은 도입했다
100% 관세를
중국산 전기차 수출에.","In 2024,
under President Biden,
the United States introduced
a 100% tariff
on Chinese EV exports."
"그에 더해,
2025년 초에,
새로운 규정이 도입되었다
그것은 본질적으로 금지했다
차량의 판매와 수입을
기술을 포함한
중국과 연결된.","In addition to that,
in early 2025,
a new rule was introduced
which essentially banned
the sale and import of vehicles
containing technology
linked to China."
"이것은 실질적으로
매우, 매우 어렵게 만든다
중국 회사들이
미국으로 수입하는 것을.","This in practice
makes it very, very difficult
for Chinese companies
to import into the United States."
"비록 미국이 이런 정책들을 시행하고 있지만
중국 자동차를 막기 위해,
그것들은 성장하고 있다
세계의 거의 모든 다른 곳에서.","Even though the US has these policies in place
to keep Chinese cars out,
they're growing
almost everywhere else in the world."
"그들은 많은 시장 점유율을 가지고 있다
멕시코에서.","They have a lot of market share
in Mexico."
"그들은 브라질에서 성장하고 있고,
유럽을 장악해 가고 있다.","They're growing in Brazil,
they're taking over Europe."
"그들은 큰 영향력이 있다
동남아시아에서.","They're big
in Southeast Asia."
"그것을 생각해 보라
글로벌 파이로
한정된 크기의.","Think of it
as a global pie
that's a finite size."
"그래서 중국인들이 들어와서
점유율을 가져가면,
그것은 의미한다
다른 자동차 제조사가
도요타나 포드, 폭스바겐 같은
점유율을 잃고 있다는 것을.","And so when the Chinese come in
and take share,
that means
another automaker
like Toyota or Ford or Volkswagen
is losing share."
"우리가 보고 있는 것처럼
실물 전기차 수출의 성장을
중국에서 나오는,
미국의 시청자들도
소셜 미디어에서
또한 그것들을 더 많이 보고 있다.","Just like we're seeing
the growth of physical EV exports
from China,
viewers in the US
on social media
are also seeing them more."
"지난 12월,
유튜버 마키스 브라운리가
리뷰를 게시했다
샤오미 SU7의
그리고 그는 그것에 정말로 감명받았다.","Last December,
YouTuber Marques Brownlee
posted a review
of the Xiaomi SU7
and he was really impressed with it."
"사실상 의심의 여지가 없다
내 마음속에는
만약 이런 차가
미국에서 판매된다면
4만 2천 달러에,
그것이 (시장을) 압도할 것이라는.","There's basically no question
in my mind
that if a car like this
was available in the US
for $42,000,
that it would crush."
"그 리뷰는 입소문이 났다
천만 회가 넘는 조회수로.","The review went viral
with over 10 million views."
"그것은 미국인들을 정말로 일깨웠다
얼마나 정교해졌는지에 대해
중국 자동차들이.","It really woke Americans up
to just how sophisticated
Chinese cars have become."
"중국의 진입은
글로벌 자동차 시장으로의
매우 논쟁적이다
왜냐하면 그것이 미래를 위협하고 있기 때문이다
많은 기존 회사들의.","China's entry
into the global auto market
is very controversial
because it's threatening the future
of a lot of existing companies."
"정말로 대립되는 서사들이 있다
무슨 일이 벌어지고 있는지에 대해.","There's really dueling narratives
about what's going on."
"사람들과 이야기해 보면
미국이나 서방의,
그들은 말할 것이다
중국이 공정하게 행동하지 않는다고,
그들이 지원을 받고 있다고
정부로부터.","If you talk to people
in the US or in the West,
they'll say
that China is not playing fair,
that they're getting support
from the government."
"그러나 내가 알아챈 한 가지는
틱톡에서
정말로 다른 서사가 있다는 것이다
거기에는.","But one thing I noticed
on TikTok
is that there's a really different narrative
there."
"그리고 당신이 보게 되는 것은
이야기가 오히려 더
미국이
불공정하고 위선적이라는 것이다
미국 사람들이 ~하지 못하게 함으로써
그것들을 사는 것을.","And what you see
is that the story is more
it's the US
who's being unfair and hypocritical
by not letting American people
buy them."
"레드노트(샤오홍슈)를 둘러보다가,
나는 이 차에 대해 알게 되었다.","While lurking on RedNote,
I found out about this car."
"우리는 이 차를 팔 수 없다
왜냐하면 그것이 중국산이기 때문이다.","We can't sell this car
because it's Chinese."
"나는 생각한다
소셜 미디어의 사람들이
중국 자동차들을 볼 때,
그들은 ~할 뿐만 아니라
기술과 가격에 매우 감명받았을,
그들은 또한 정말로 화가 났다
왜냐하면 자동차가 되어버렸기 때문이다
정말로 감당할 수 없게
미국에서.","I think
when people on social media
see Chinese cars,
not only are they
so impressed with the technology and the price,
they're also really mad
because cars have become
really unaffordable
in the United States."
"평균 신차 가격은
미국에서
약 5만 달러이다.","The average new car price
in the US
is around $50,000."
"그것은 그저 손이 닿지 않는다
점점 더 많은 사람들에게,
특히 지금은
인플레이션과 고금리 상황에서.","That's just out of reach
for more and more people,
especially now
with inflation and high interest rates."
"모두가 이야기한다
얼마나 빠르게
중국이 움직이고 있는지.","Everyone talks about
how quickly
China is moving."
"그들은 설계하고, 개발하고, 생산할 수 있다
새로운 차를
18개월 안에
3년에서 5년에 비해
서구 자동차 회사가 (걸리는),
그리고 그것은 의문을 불러일으킨다
품질과 신뢰성에 대한.","They can design, develop and produce
a new car
in 18 months
versus three to five years
for a Western car company,
and that brings up questions
of quality and reliability."
"그러나 사실은,
우리는 아직 모른다
왜냐하면 전기차는 여전히
비교적 새로운 기술이기 때문이다.","But the truth is,
we don't know yet
because EVs are still
a relatively new technology."
"비록 있을 수도 있지만
일부 의문이
소비자들의 마음속에,
그것이 의미하지는 않는다
기존 자동차 제조사들이 중국을 주시하고 있지 않다고
배우기 위해
차를 만드는 법을
그들이 하는 것처럼.","Even though there may be
some questions
on consumers minds,
that doesn't mean
that the legacy automakers aren't looking to China
to learn
how to make cars
like they do."
"당신이 지금 보고 있는 것은
사실 많은 대형 유럽 자동차 제조사들이
중국 기술과 협력하는 것이다
매우 공개적으로.","What you're seeing right now
is actually a lot of big European automakers
engaging with Chinese technology
very openly."
"미국 회사들은 매우 주저해 왔다,
그리고 매우 어려웠다
그들에게
같은 일을 하는 것이.","US companies have been very hesitant,
and it's been very difficult
for them
to do the same."
"그래서 정말로 어려운 균형이다
제대로 맞추기에.","So it's a really difficult balance
to get right."
"나는 생각한다 미래가
미국 자동차 산업의
정말로 그 질문에 달려 있다고
여부에 대한
더 많은 개방성이 있을지
중국 기술에 대한.","I think the future
of the US automotive industry
really hinges on the question
of whether or not
there's going to be more openness
to Chinese technology."
"의미할 수도 있다
더 많은 개방성을
어쩌면 라이선싱하는 것에 대한
일부 중국 기술들을.","Might mean
more openness
to maybe licensing
some Chinese technologies."
"이런 종류의 협약들은,
신중하게 이루어진다면,
정말로 큰 혜택이 될 수 있다
미국 산업에.","These kinds of arrangements,
if done carefully,
could be a real boon
for the US industry."
"그것은 가능하게 할 수 있다
더 많은 혁신을.","It could allow for
more innovation."
"비록 미국이
지금까지 성공해 왔지만
중국 자동차들을 유지하는 데
물리적으로 국가 밖으로,
그들은 통제할 수 없다
사람들이 보는 것을
또는 사람들이 생각하는 것을.","Even though the US
has been successful so far
in keeping Chinese cars
physically out of the country,
they can't control
what people see
or what people think."
"중국 자동차들은
거부하기가 매우 어렵다
많은 사람들에게,
그리고 나는 생각한다
그것이 압력을 가한다고
미국 정치인들뿐만 아니라,
자동차 산업의 나머지에도,
더 저렴한 차들을 갖도록
중국 차만큼 좋은,
그렇지 않으면
사람들이 결국 투표할 것이다
그들의 지갑으로.","The Chinese cars
are very hard to resist
for a lot of people,
and I think
that puts pressure
not just on US politicians,
but also the rest of the auto industry,
to have more affordable cars
that are as good as the Chinese,
or else
people are just eventually going to vote
with their wallets."
