"Question","Answer"
"항해 선교가 꼭대기에 있는 선원 거주 구역은
선미 쪽에 위치해 있으며,
상자 더미 위로 겨우 보일 정도이다.","The structure that houses the crew quarters,
topped by the navigation bridge,
is toward the stern,
barely visible above the stacks of boxes."
"선원 숙소는 작지만,
선원 수도 그만큼 적다.","The crew accommodations are small,
but so is the crew."
"200,000톤의 신발과 의류와 전자제품으로 채워진
9,000개의 40피트 컨테이너를 실은 배는,
단 20명의 승선 인원만으로
홍콩에서 수에즈 운하를 거쳐 독일까지
3주간의 항해를 할 수 있다.","A ship carrying 9,000 40-foot containers,
filled with 200,000 tons of shoes and clothes and electronics,
may make the three-week transit
from Hong Kong through the Suez Canal to Germany
with only twenty people on board."
"부두에서는,
배가 접안하자마자
거의 즉시
일렬로 늘어선 크레인들이 작동에 들어간다.","On the wharf,
a row of cranes goes into action
almost as soon as the ship ties up."
"크레인들은 거대한 강철 구조물로,
200피트 높이로 솟아 있으며
무게는 200만 파운드가 넘는다.","The cranes are huge steel structures,
rising 200 feet into the air
and weighing more than two million pounds."
"크레인의 다리는 50피트 간격으로 벌어져 있어,
여러 개의 트럭 차선이나 심지어 기차 선로도
그 아래를 쉽게 통과할 수 있을 만큼 넓다.","Their legs stretch 50 feet apart,
easily wide enough
for several truck lanes or even train tracks
to pass beneath."
"크레인들은 배의 측면과 평행하게 놓인 레일 위에 놓여 있어,
필요에 따라 앞이나 뒤로 이동할 수 있다.","The cranes rest on rails
running parallel to the ship's side,
so that they can move forward or aft as required."
"각 크레인은
부두 위 115피트 높이로 붐을 뻗으며,
파나마 운하보다 더 넓은 배의 폭을
가로지를 수 있을 만큼 길다.","Each crane extends a boom
115 feet above the dock
and long enough to span the width of a ship
broader than the Panama Canal."
"각 크레인의 높은 곳에서,
운전자 한 명이 붐의 길이를 따라 이동할 수 있는 트롤리를 조종하며,
각 트롤리에는 스프레더가 매달려 있다
—25톤 상자의 네 모서리 꼭대기 모두에
잠금 장치를 걸도록 설계된 강철 프레임인.","High up in each crane,
an operator controls a trolley
able to travel the length of the boom,
and from each trolley hangs a spreader,
a steel frame designed to lock onto
all four top corners of a 25-ton box."
"하역이 시작되면,
각 운전자는 트롤리를 붐을 따라
배 위의 정확한 위치로 이동시키고,
스프레더를 내려 컨테이너에 체결하고,
컨테이너를 트롤리 쪽으로 들어 올린 다음,
트롤리와 컨테이너를 부두 쪽으로 빠르게 끌어당긴다.","As unloading begins,
each operator moves his trolley out the boom
to a precise location above the ship,
lowers the spreader to engage a container,
raises the container up toward the trolley,
and pulls trolley and container quickly toward the wharf."
"트롤리는
크레인 다리 사이에서 대기 중인 고무 타이어 운반차 위에서 멈추고,
컨테이너가 운반차 위로 내려지며,
스프레더가 잠금을 해제한다.","The trolley stops
above a rubber-tired transporter
waiting between the crane's legs,
the container is lowered onto the transporter,
and the spreader releases its grip."
"그러면 운반차는
컨테이너를 인접한 야적장으로 옮기고,
트롤리는 다시 배 위로 이동하여
또 다른 상자를 집어 올린다.","The transporter then moves the container
to the adjacent storage yard,
while the trolley moves back out over the ship
to pick up another box."
"이 과정은 매 2분마다,
혹은 심지어 매 90초마다 반복되며,
각 크레인은 시간당 30개에서 40개의 상자를
배에서 부두로 옮긴다.","The process is repeated
every two minutes, or even every ninety seconds,
each crane moving 30 or 40 boxes an hour
from ship to dock."
"배의 일부가 들어온 컨테이너를 비우면,
재적재가 시작되고,
부두의 활동은 더욱 광란적이 된다.","As parts of the ship are cleared of incoming containers,
reloading begins,
and dockside activity becomes even more frenzied."
"크레인이 들어온 컨테이너를
한 차량 위에 내려놓을 때마다,
다른 차량에서 나갈 컨테이너를 집어 올리며,
배를 동시에 비우고 채운다.","Each time the crane places an incoming container
on one vehicle,
it picks up an outbound container from another,
simultaneously emptying and filling the ship."
